county_fips,industry_code,year,bls_annual_establishments,bls_annual_employment,bls_total_annual_wages
46085,1026,2021,22,246,4928032
46087,1026,2021,14,59,702189
46089,1026,2021,4,12,69160
46091,1026,2021,11,85,1188702
46093,1026,2021,90,886,17830995
46095,1026,2021,3,19,399697
46097,1026,2021,12,73,730831
46099,1026,2021,690,12803,276862623
46101,1026,2021,14,94,1039966
46102,1026,2021,8,63,1224460
46103,1026,2021,535,8761,207868052
46105,1026,2021,11,53,688816
46107,1026,2021,12,74,1101212
46109,1026,2021,29,245,2877241
46111,1026,2021,5,29,264912
46115,1026,2021,19,156,2122460
46117,1026,2021,16,198,3588424
46119,1026,2021,10,108,4046235
46121,1026,2021,5,151,5408335
46123,1026,2021,27,198,3245238
46125,1026,2021,19,95,1150776
46127,1026,2021,60,796,15212194
46129,1026,2021,32,233,3916953
46135,1026,2021,89,1151,20467021
46137,1026,2021,1,0,0
46999,1026,2021,4,2,98512
47001,1026,2021,195,3276,64916023
47003,1026,2021,73,1153,20533934
47005,1026,2021,30,353,5267479
47007,1026,2021,15,134,2753479
47009,1026,2021,249,5769,147997630
47011,1026,2021,226,4177,75691566
47013,1026,2021,79,1160,24045988
47015,1026,2021,15,197,2902684
47017,1026,2021,43,668,9857381
47019,1026,2021,92,1414,24797986
47021,1026,2021,65,825,17577528
47023,1026,2021,27,360,5639208
47025,1026,2021,49,652,11220608
47027,1026,2021,18,170,3226850
47029,1026,2021,81,1142,21508388
47031,1026,2021,163,2684,48472468
47033,1026,2021,19,167,2521002
47035,1026,2021,123,1839,39102167
47037,1026,2021,3379,55533,2427374448
47039,1026,2021,24,244,3855881
47041,1026,2021,41,482,10406656
47043,1026,2021,125,1847,35910038
47045,1026,2021,81,1436,24705857
47047,1026,2021,45,621,14433248
47049,1026,2021,23,253,3868442
47051,1026,2021,82,1051,26016256
47053,1026,2021,96,1196,19218446
47055,1026,2021,57,790,13949436
47057,1026,2021,23,182,3069470
47059,1026,2021,126,1882,34021208
47061,1026,2021,17,177,2670327
