county_fips,year,bls_labor_force,bls_employed
6091,2020,1286,1179
6093,2020,16967,15269
6095,2020,201823,182148
6097,2020,245738,225996
6099,2020,242015,215474
6101,2020,45513,40347
6103,2020,25674,23343
6105,2020,4541,4168
6107,2020,202466,175249
6109,2020,20184,18045
6111,2020,410076,374275
6113,2020,104826,96690
6115,2020,30713,27444
8001,2020,269887,249638
8003,2020,8297,7806
8005,2020,359400,333007
8007,2020,7028,6534
8009,2020,2081,2035
8011,2020,1786,1715
8013,2020,190477,179548
8014,2020,40347,37893
8015,2020,9627,9058
8017,2020,1082,1058
8019,2020,5954,5473
8021,2020,3997,3788
8023,2020,1809,1687
8025,2020,1438,1364
8027,2020,2082,1985
8029,2020,14132,13267
8031,2020,419155,387125
8033,2020,1133,1061
8035,2020,195819,185433
8037,2020,35321,32191
8039,2020,14979,14334
8041,2020,341374,318334
8043,2020,15192,14099
8045,2020,31348,29365
8047,2020,3923,3500
8049,2020,9228,8502
8051,2020,11277,10582
8053,2020,422,406
8055,2020,2591,2362
8057,2020,933,897
8059,2020,327035,305322
8061,2020,952,931
8063,2020,4206,4096
8065,2020,4795,4432
8067,2020,30869,28885
8069,2020,200965,189141
8071,2020,6386,5945
8073,2020,2337,2240
8075,2020,10853,10381
8077,2020,74581,69397
8079,2020,463,438
8081,2020,7147,6746
8083,2020,12596,11755
8085,2020,21446,20125
8087,2020,15878,15083
8089,2020,8165,7698
8091,2020,2475,2289
8093,2020,10954,10366
8095,2020,2457,2395
8097,2020,11101,10013
8099,2020,6107,5854
8101,2020,76006,70203
8103,2020,2900,2753
8105,2020,5348,4991
8107,2020,15896,14723
8109,2020,3399,3175
8111,2020,518,486
8113,2020,5414,4863
8115,2020,1153,1115
8117,2020,21925,19904
8119,2020,12812,11919
8121,2020,2841,2758
8123,2020,164591,153885
8125,2020,5547,5402
9001,2020,467274,429824
9003,2020,476699,437651
9005,2020,102177,95106
9007,2020,92019,85953
9009,2020,456690,419869
9011,2020,132133,119335
9013,2020,84821,79530
9015,2020,62440,57547
10001,2020,79832,73234
10003,2020,299663,277563
10005,2020,107207,99528
11001,2020,386235,355694
12001,2020,134241,126615
12003,2020,11634,11017
12005,2020,82521,77333
12007,2020,10692,10016
12009,2020,280910,261234
12011,2020,1018269,922908
12013,2020,4735,4478
12015,2020,71222,65747
12017,2020,46463,42339
12019,2020,104392,98484
12021,2020,175944,163099
12023,2020,29375,27530
12027,2020,14323,13545
12029,2020,5834,5494
12031,2020,479337,444744
12033,2020,143319,133076
12035,2020,46980,43252
12037,2020,4643,4379
12039,2020,18167,16836
12041,2020,7023,6660
12043,2020,5061,4754
12045,2020,5064,4753
12047,2020,4199,3855
12049,2020,8407,7829
12051,2020,15244,13903
12053,2020,71770,65713
12055,2020,34535,31715
12057,2020,752317,695452
12059,2020,6801,6405
12061,2020,64001,59012
12063,2020,17090,16102
12065,2020,5402,5083
12067,2020,2765,2639
12069,2020,156379,141967
12071,2020,344331,317679
12073,2020,150391,141101
12075,2020,16445,15394
12077,2020,2587,2456
12079,2020,7529,7040
12081,2020,175309,162762
12083,2020,138630,128309
12085,2020,71216,66660
12086,2020,1274721,1170373
12087,2020,44353,40716
12089,2020,41478,39025
12091,2020,95065,89575
12093,2020,17058,16085
12095,2020,739656,656635
12097,2020,189497,162790
12099,2020,713727,656392
12101,2020,240185,222125
12103,2020,475622,440021
12105,2020,318841,288372
12107,2020,26326,24104
12109,2020,137436,129978
12111,2020,146560,134632
12113,2020,82717,78203
12115,2020,183596,170379
12117,2020,237058,219044
12119,2020,32577,29868
12121,2020,17602,16545
12123,2020,8134,7585
12125,2020,4525,4298
12127,2020,248134,228207
12129,2020,14970,14268
12131,2020,32288,30313
12133,2020,9419,8840
13001,2020,9202,8772
13003,2020,4457,4283
13005,2020,4850,4625
13007,2020,1127,1060
13009,2020,17676,16463
13011,2020,9832,9413
13013,2020,40875,38816
13015,2020,50054,46962
13017,2020,5499,5123
13019,2020,7430,7004
13021,2020,67271,62261
13023,2020,4512,4221
13025,2020,7023,6649
13027,2020,6749,6395
13029,2020,19116,18132
13031,2020,37201,34790
13033,2020,9041,8396
13035,2020,10851,10189
13037,2020,2238,2123
13039,2020,21120,20112
13043,2020,5735,5485
13045,2020,54733,51291
13047,2020,32626,31202
13049,2020,4876,4690
13051,2020,139788,129191
13053,2020,1920,1799
13055,2020,9762,8949
13057,2020,135154,128714
13059,2020,58035,54328
13061,2020,901,791
13063,2020,138780,124510
13065,2020,2964,2848
13067,2020,412387,388183
13069,2020,18954,17857
13071,2020,21877,20901
13073,2020,75359,72222
13075,2020,8105,7720
13077,2020,74466,69922
13079,2020,5418,5142
13081,2020,9719,8847
13083,2020,7789,7467
13085,2020,12675,12090
13087,2020,11329,10786
13089,2020,393700,362554
13091,2020,6926,6512
13093,2020,4978,4532
13095,2020,37503,34272
13097,2020,72454,67134
13099,2020,4421,4167
13101,2020,1883,1809
13103,2020,31899,30335
13105,2020,7936,7391
13107,2020,8574,7977
13109,2020,5011,4754
13111,2020,11139,10614
13113,2020,56635,53605
13115,2020,43156,40465
13117,2020,123063,117533
13119,2020,9899,9320
13121,2020,559104,514890
13123,2020,12029,11468
13125,2020,1247,1197
13127,2020,38323,35744
13129,2020,28115,26595
13131,2020,10629,10166
13133,2020,7196,6779
13135,2020,480566,450320
13137,2020,18735,17725
13139,2020,102396,97607
13141,2020,2541,2318
13143,2020,12378,11659
13145,2020,16857,16097
13147,2020,11336,10725
13149,2020,5111,4781
13151,2020,116487,108034
13153,2020,70532,66854
13155,2020,3486,3291
13157,2020,40087,38345
13159,2020,6822,6491
13161,2020,6138,5824
13163,2020,6678,6231
13165,2020,3190,2989
13167,2020,4004,3807
13169,2020,13374,12770
13171,2020,7989,7488
13173,2020,3805,3605
13175,2020,19293,18011
13177,2020,15036,14352
13179,2020,25725,24125
13181,2020,3510,3322
13183,2020,8191,7834
13185,2020,51525,48417
13187,2020,16569,15780
13189,2020,8555,7882
13191,2020,5949,5614
13193,2020,4655,4303
13195,2020,13226,12560
13197,2020,3241,3077
13199,2020,8747,7996
13201,2020,2772,2662
13205,2020,8292,7751
13207,2020,12907,12261
13209,2020,3833,3627
13211,2020,9228,8737
13213,2020,15390,14239
13215,2020,77262,71264
13217,2020,52157,48479
13219,2020,19623,18905
13221,2020,6849,6526
13223,2020,86866,82294
13225,2020,11842,11109
13227,2020,15041,14328
13229,2020,8519,8135
13231,2020,8703,8276
13233,2020,18293,17210
13235,2020,3955,3769
13237,2020,8294,7761
13239,2020,796,746
13241,2020,7240,6858
13243,2020,2467,2321
13245,2020,84106,77707
13247,2020,43642,40347
13249,2020,2147,2055
13251,2020,5050,4641
13253,2020,3097,2943
13255,2020,28356,26221
13257,2020,10436,9774
13259,2020,2514,2374
13261,2020,12593,11659
13263,2020,2757,2571
13265,2020,533,495
13267,2020,9677,9264
13269,2020,2770,2571
13271,2020,3801,3428
13273,2020,3529,3266
13275,2020,17007,15954
13277,2020,20546,19509
13279,2020,12167,11379
13281,2020,3874,3619
13283,2020,2660,2499
13285,2020,37612,34919
13287,2020,3262,3026
13289,2020,2789,2581
13291,2020,10554,10094
13293,2020,11375,10632
13295,2020,30583,29083
13297,2020,45583,43150
13299,2020,15312,14465
13301,2020,2641,2463
13303,2020,6928,6487
13305,2020,11565,10923
13307,2020,1016,959
13309,2020,1612,1496
13311,2020,16259,15555
13313,2020,43144,40038
13315,2020,2756,2590
13317,2020,3644,3399
13319,2020,3803,3602
13321,2020,8819,8340
15001,2020,92138,81651
15003,2020,452023,405728
15007,2020,36458,30567
15009,2020,85343,70212
16001,2020,263395,248859
16003,2020,1890,1713
16005,2020,42333,40215
16007,2020,2700,2575
16009,2020,4374,4042
16011,2020,22634,21718
16013,2020,12990,11958
16015,2020,3840,3533
16017,2020,21362,19706
16019,2020,59122,56680
16021,2020,5392,5046
16023,2020,1086,1040
16025,2020,521,491
16027,2020,107851,101384
16029,2020,3602,3461
16031,2020,11682,11228
16033,2020,470,454
16035,2020,3427,3148
16037,2020,2112,2001
16039,2020,12016,11422
16041,2020,6726,6472
16043,2020,7405,7118
16045,2020,8112,7614
16047,2020,7892,7575
16049,2020,7209,6728
16051,2020,14145,13645
16053,2020,11587,11093
16055,2020,83063,77160
16057,2020,19679,18716
16059,2020,4002,3737
16061,2020,1652,1521
16063,2020,2325,2176
16065,2020,22277,21655
16067,2020,11338,10883
16069,2020,21102,20052
16071,2020,2035,1940
16073,2020,5309,4980
16075,2020,11238,10610
16077,2020,3780,3615
16079,2020,5717,5186
16081,2020,6658,6271
16083,2020,43182,40877
16085,2020,6108,5618
16087,2020,4470,4214
17001,2020,31166,29178
17003,2020,1835,1647
17005,2020,7402,6886
17007,2020,25325,22454
17009,2020,2984,2868
17011,2020,16387,15132
17013,2020,2177,2002
17015,2020,7441,6902
17017,2020,5819,5425
17019,2020,106938,99877
17021,2020,13500,12396
17023,2020,7316,6709
17025,2020,6195,5609
17027,2020,19677,18512
17029,2020,23067,21345
17031,2020,2591782,2317178
17033,2020,8399,7801
17035,2020,5932,5590
17037,2020,52911,48520
17039,2020,7004,6532
17041,2020,9970,9405
17043,2020,496192,458446
17045,2020,8899,8289
17047,2020,2670,2430
17049,2020,19185,17915
17051,2020,9715,8976
17053,2020,6165,5755
17055,2020,15942,14251
17057,2020,14569,13309
17059,2020,2018,1822
17061,2020,5898,5499
17063,2020,25010,22875
17065,2020,4226,3924
17067,2020,8062,7506
17069,2020,1296,1167
17071,2020,3533,3287
