county_fips,year,bea_total_income,population
2016,2020,326850000,5222
2016,2021,327531000,5155
2016,2022,354746000,5122
2020,2020,19710277000,290866
2020,2021,20881987000,288702
2020,2022,21681255000,287145
2050,2020,853520000,18673
2050,2021,865498000,18599
2050,2022,889120000,18257
2060,2020,115645000,829
2060,2021,131155000,841
2060,2022,136277000,865
2063,2020,434744000,7077
2063,2021,477000000,6943
2063,2022,486137000,6874
2066,2020,128246000,2616
2066,2021,149295000,2611
2066,2022,155928000,2589
2068,2020,142936000,1614
2068,2021,171779000,1594
2068,2022,191269000,1585
2070,2020,278108000,4835
2070,2021,275473000,4774
2070,2022,287650000,4723
2090,2020,5758789000,95328
2090,2021,6232535000,95528
2090,2022,6464225000,95356
2100,2020,158166000,2086
2100,2021,163065000,2074
2100,2022,176124000,2056
2105,2020,130677000,2362
2105,2021,137918000,2339
2105,2022,152994000,2287
2110,2020,2275370000,32202
2110,2021,2393279000,31965
2110,2022,2491441000,31685
2122,2020,3290347000,58927
2122,2021,3568705000,59851
2122,2022,3718013000,60690
2130,2020,920562000,13918
2130,2021,953478000,13810
2130,2022,1003045000,13741
2150,2020,854037000,13047
2150,2021,877176000,12864
2150,2022,910664000,12720
2158,2020,273324000,8373
2158,2021,297238000,8398
2158,2022,303572000,8278
2164,2020,84425000,1452
2164,2021,89975000,1419
2164,2022,92958000,1381
2170,2020,5667829000,107515
2170,2021,6113659000,111059
2170,2022,6578302000,113325
2180,2020,540688000,10028
2180,2021,564588000,9908
2180,2022,609392000,9835
2185,2020,838974000,11002
2185,2021,773763000,11011
2185,2022,806608000,10805
2188,2020,382656000,7790
2188,2021,392062000,7560
2188,2022,410390000,7423
2195,2020,234363000,3405
2195,2021,256700000,3373
2195,2022,245791000,3360
2198,2020,295823000,5739
2198,2021,294497000,5734
2198,2022,300429000,5650
2220,2020,571616000,8425
2220,2021,637662000,8410
2220,2022,672672000,8382
2230,2020,71872000,1240
2230,2021,77059000,1142
2230,2022,81664000,1081
2240,2020,363247000,6820
2240,2021,411879000,7005
2240,2022,423797000,7021
2275,2020,120221000,2127
2275,2021,124196000,2100
2275,2022,126186000,2070
2282,2020,40187000,684
2282,2021,43628000,709
2282,2022,44826000,700
2290,2020,307562000,5296
2290,2021,323944000,5280
2290,2022,337133000,5179
4001,2020,2780944000,65911
4001,2021,2995738000,65385
4001,2022,2985841000,65432
4003,2020,5878777000,125522
4003,2021,6218395000,125763
4003,2022,6307666000,125663
4005,2020,7678620000,145180
4005,2021,8067791000,142780
4005,2022,8489905000,144060
4007,2020,2400356000,53351
4007,2021,2635887000,53521
4007,2022,2723317000,53922
4009,2020,1388249000,38638
4009,2021,1516956000,38882
4009,2022,1589220000,38779
4011,2020,411614000,9526
4011,2021,451908000,9377
4011,2022,504346000,9302
4012,2020,766060000,16575
4012,2021,850647000,16391
4012,2022,891281000,16506
4013,2020,248760469000,4440232
