state_code,year,population,ef_overall,ef_government_spending,ef_taxation,ef_regulation,bea_pce_total,bea_pce_durable_goods,bea_pce_nondurable_goods,bea_pce_services,bea_pce_npish
NH,2020,1378587,7.92,8.55,7.39,7.83,70800092559.0,7783502202.0,14840489055.0,44673111735.0,3502989567.0
NH,2021,1387505,7.96,8.74,7.43,7.7,78403745035.0,9573784500.0,16476621875.0,48906776240.0,3446562420.0
NH,2022,1395231,,,,,84869111268.0,10232624154.0,18531458142.0,52178848938.0,3926180034.0
NJ,2020,9271689,5.46,6.08,4.35,5.95,453153799875.0,45523992990.0,96898421739.0,280848731499.0,29882653647.0
NJ,2021,9267961,5.46,6.29,4.33,5.76,514112332592.0,56441882490.0,112327687320.0,315333105064.0,30009657718.0
NJ,2022,9261699,,,,,556461399318.0,59339705493.0,120040880739.0,342664339602.0,34416473484.0
NM,2020,2118390,5.19,3.98,6.33,5.24,74209320090.0,8545585260.0,17014908480.0,45899156130.0,2749670220.0
NM,2021,2116677,4.98,3.42,6.9,4.63,84561246150.0,10733669067.0,19553862126.0,51536851596.0,2736863361.0
NM,2022,2113344,,,,,91583875584.0,11133096192.0,21507501888.0,55769034816.0,3172129344.0
NY,2020,20108296,4.26,4.69,3.45,4.66,961437956648.0,83771161136.0,200097653496.0,635643344856.0,41925797160.0
NY,2021,19857492,4.09,4.48,3.19,4.61,1059476628168.0,100518624504.0,217935974700.0,702359492040.0,38662536924.0
NY,2022,19677151,,,,,1152510411221.0,106138552494.0,236991606644.0,763886678971.0,45493573112.0
NC,2020,10449445,7.31,7.12,6.88,7.94,408186670035.0,54253518440.0,98381524675.0,253608030150.0,1943596770.0
NC,2021,10565885,7.31,7.1,6.65,8.18,467931348995.0,67938640550.0,111311598475.0,288374699305.0,306410665.0
NC,2022,10698973,,,,,511774674482.0,73309362996.0,123348459717.0,313779480144.0,1348070598.0
ND,2020,779518,7.33,6.92,7.29,7.77,35084546144.0,4507952594.0,6894836710.0,22012029284.0,1669727556.0
ND,2021,777934,7.14,6.33,7.44,7.63,38281354206.0,5284505662.0,7652536758.0,23674865422.0,1669446364.0
ND,2022,779261,,,,,41013285691.0,5450930695.0,8217307245.0,25487289527.0,1857758224.0
OH,2020,11797517,5.71,4.48,6.49,6.17,468361424900.0,55365747281.0,107345607183.0,282302784293.0,23347286143.0
OH,2021,11764342,5.89,4.79,6.47,6.41,520160381530.0,66680290456.0,119102198408.0,311355075372.0,23022817294.0
OH,2022,11756058,,,,,561563378544.0,70265958666.0,131879458644.0,333836779026.0,25592938266.0
OK,2020,3964912,7.07,7.17,7.05,7.01,137768797264.0,18333753088.0,32381436304.0,85253537824.0,1800070048.0
OK,2021,3991225,6.94,6.69,6.96,7.18,155214749025.0,22494544100.0,36607515700.0,95074970725.0,1037718500.0
OK,2022,4019800,,,,,169016510800.0,23282681600.0,40688415600.0,103646523200.0,1402910200.0
OR,2020,4244795,4.94,4.59,5.74,4.5,179457198215.0,23889706260.0,38729509580.0,110241570945.0,6600656225.0
OR,2021,4256301,4.56,4.3,5.13,4.23,202808486349.0,29304632385.0,44125072467.0,122887922472.0,6495115326.0
OR,2022,4240137,,,,,221161305783.0,31156526676.0,49062625227.0,133458312075.0,7488081942.0
PA,2020,12994440,6.6,5.98,6.39,7.43,574146336960.0,63841683720.0,121627958400.0,361843176240.0,26846513040.0
